Age,Gender,Race,Precinct,Total Voters: 2020
18 to 24,Unknown,White,Kalmar Twp.,5
18 to 24,Unknown,White,Kasson P-1,4
18 to 24,Unknown,White,Kasson P-2,25
18 to 24,Unknown,White,Kasson P-3,6
18 to 24,Unknown,White,Mantorville,6
18 to 24,Unknown,White,Mantorville Twp.,15
18 to 24,Unknown,White,Marion Twp. P-2,1
18 to 24,Unknown,White,Milton Twp.,5
18 to 24,Unknown,White,Rochester Twp P-1,9
18 to 24,Unknown,White,Rochester Twp P-2,1
18 to 24,Unknown,White,Rochester Twp P-3,2
18 to 24,Unknown,White,Rochester W1 P1,4
18 to 24,Unknown,White,Rochester W1 P10,3
18 to 24,Unknown,White,Rochester W1 P11,5
18 to 24,Unknown,White,Rochester W1 P12,9
18 to 24,Unknown,White,Rochester W1 P13,9
18 to 24,Unknown,White,Rochester W1 P14,1
18 to 24,Unknown,White,Rochester W1 P4,6
18 to 24,Unknown,White,Rochester W1 P5,3
18 to 24,Unknown,White,Rochester W1 P6,4
18 to 24,Unknown,White,Rochester W1 P7,8
18 to 24,Unknown,White,Rochester W1 P8,9
18 to 24,Unknown,White,Rochester W1 P9,2
18 to 24,Unknown,White,Rochester W2 P1,6
18 to 24,Unknown,White,Rochester W2 P10,5
18 to 24,Unknown,White,Rochester W2 P11,5
18 to 24,Unknown,White,Rochester W2 P2,1
18 to 24,Unknown,White,Rochester W2 P3,4
18 to 24,Unknown,White,Rochester W2 P4,2
18 to 24,Unknown,White,Rochester W2 P5,4
18 to 24,Unknown,White,Rochester W2 P6,1
18 to 24,Unknown,White,Rochester W2 P9,3
18 to 24,Unknown,White,Rochester W4 P10,3
18 to 24,Unknown,White,Rochester W4 P11,4
18 to 24,Unknown,White,Rochester W4 P12,3
18 to 24,Unknown,White,Rochester W4 P8,4
18 to 24,Unknown,White,Rochester W4 P9,1
18 to 24,Unknown,White,Rock Dell Twp.,4
18 to 24,Unknown,White,Salem Twp.,6
18 to 24,Unknown,White,Stewartville,23
18 to 24,Unknown,White,Vernon Twp.,8
18 to 24,Unknown,White,Wasioja Twp.,3
18 to 24,Unknown,White,West Concord,4
18 to 24,Unknown,White,Westfield Twp.,2
18 to 24,Unknown,White,Byron,4
18 to 24,Unknown,White,Dodge Center P-1,1
18 to 24,Unknown,White,Hayfield Twp.,1
18 to 24,Unknown,White,Kalmar Twp.,2
18 to 24,Unknown,White,Kasson P-1,1
18 to 24,Unknown,White,Kasson P-2,3
18 to 24,Unknown,White,Mantorville,1
18 to 24,Unknown,White,Mantorville Twp.,1
18 to 24,Unknown,White,Milton Twp.,1
18 to 24,Unknown,White,Rochester Twp P-1,3
18 to 24,Unknown,White,Rochester W1 P10,4
18 to 24,Unknown,White,Rochester W1 P11,3
18 to 24,Unknown,White,Rochester W1 P12,3
18 to 24,Unknown,White,Rochester W1 P13,4
18 to 24,Unknown,White,Rochester W1 P14,1
18 to 24,Unknown,White,Rochester W1 P6,2
18 to 24,Unknown,White,Rochester W1 P7,3
18 to 24,Unknown,White,Rochester W1 P8,1
18 to 24,Unknown,White,Rochester W2 P1,2
18 to 24,Unknown,White,Rochester W2 P10,2
18 to 24,Unknown,White,Rochester W2 P11,2
18 to 24,Unknown,White,Rochester W2 P2,1
18 to 24,Unknown,White,Rochester W2 P4,1
18 to 24,Unknown,White,Rochester W4 P10,1
18 to 24,Unknown,White,Rochester W4 P11,2
18 to 24,Unknown,White,Rochester W4 P12,2
18 to 24,Unknown,White,Stewartville,7
18 to 24,Unknown,White,Wasioja Twp.,1
18 to 24,Unknown,White,Westfield Twp.,1
25 to 34,Male,Asian,Rochester Twp P-1,3
25 to 34,Male,Asian,Rochester W1 P10,1
25 to 34,Male,Asian,Rochester W1 P13,1
25 to 34,Male,Asian,Rochester W1 P2,2
25 to 34,Male,Asian,Rochester W1 P7,1
25 to 34,Male,Asian,Rochester W2 P10,1
25 to 34,Male,Asian,Rochester W2 P11,1
25 to 34,Male,Asian,Rochester W2 P4,1
25 to 34,Male,Asian,Rochester W2 P5,3
25 to 34,Male,Asian,Rochester W4 P12,1
25 to 34,Male,Asian,Stewartville,1
25 to 34,Male,Asian,Rochester W1 P10,1
25 to 34,Male,Asian,Rochester W1 P12,3
25 to 34,Male,Asian,Rochester W1 P2,1
25 to 34,Male,Asian,Rochester W1 P4,1
25 to 34,Male,Asian,Rochester W1 P6,2
25 to 34,Male,Asian,Rochester W1 P7,1
25 to 34,Male,Asian,Rochester W2 P1,3
25 to 34,Male,Asian,Rochester W2 P10,1
25 to 34,Male,Asian,Rochester W2 P11,1
25 to 34,Male,Asian,Rochester W2 P2,2
25 to 34,Male,Asian,Rochester W2 P3,2
25 to 34,Male,Asian,Rochester W2 P4,2
25 to 34,Male,Asian,Rochester W2 P5,1
25 to 34,Male,Asian,Rochester W2 P9,1
25 to 34,Male,Asian,Rochester W4 P11,4
25 to 34,Male,Asian,Rochester W4 P9,1
25 to 34,Male,Asian,Byron,1
25 to 34,Male,Asian,Rochester Twp P-1,1
25 to 34,Male,Asian,Rochester W1 P10,1
25 to 34,Male,Asian,Rochester W2 P1,1
25 to 34,Male,Asian,Rochester W2 P10,1
25 to 34,Male,Asian,Rochester W2 P9,1
25 to 34,Male,Asian,Rochester W4 P10,1
25 to 34,Male,Asian,Rochester W4 P9,2
25 to 34,Male,Asian,Stewartville,1
25 to 34,Male,Black,Rochester W1 P7,1
25 to 34,Male,Black,Rochester W2 P1,1
25 to 34,Male,Black,Rochester W2 P10,1
25 to 34,Male,Black,Rochester W4 P11,1
25 to 34,Male,Black,Rochester W4 P8,1
25 to 34,Male,Black,Rochester W4 P9,2
25 to 34,Male,Black,Rochester W5 P14,1
25 to 34,Male,Black,Stewartville,1
25 to 34,Male,Black,Dodge Center P-2,1
25 to 34,Male,Black,Kasson P-2,3
25 to 34,Male,Black,Rochester W1 P11,2
25 to 34,Male,Black,Rochester W1 P12,1
25 to 34,Male,Black,Rochester W1 P7,1
25 to 34,Male,Black,Rochester W2 P11,1
25 to 34,Male,Black,Rochester W2 P2,2
25 to 34,Male,Black,Rochester W2 P3,2
25 to 34,Male,Black,Rochester W2 P5,2
25 to 34,Male,Black,Rochester W2 P6,8
25 to 34,Male,Black,Rochester W4 P10,5
25 to 34,Male,Black,Rochester W4 P11,2
25 to 34,Male,Black,Rochester W4 P12,1
25 to 34,Male,Black,Rochester W4 P8,3
25 to 34,Male,Black,Rochester W4 P9,2
25 to 34,Male,Black,Rochester W5 P14,1
25 to 34,Male,Black,Rock Dell Twp.,1
25 to 34,Male,Black,Stewartville,1
25 to 34,Male,Black,Rochester W1 P10,1
25 to 34,Male,Black,Rochester W2 P1,2
25 to 34,Male,Black,Rochester W4 P10,3
25 to 34,Male,Black,Rochester W4 P11,1
25 to 34,Male,Hispanic,Byron,1
25 to 34,Male,Hispanic,Claremont,1
25 to 34,Male,Hispanic,Dodge Center P-1,2
25 to 34,Male,Hispanic,Rochester W4 P11,1
25 to 34,Male,Hispanic,Rochester W4 P12,3
25 to 34,Male,Hispanic,Byron,3
25 to 34,Male,Hispanic,Claremont,1
25 to 34,Male,Hispanic,Dodge Center P-1,1
25 to 34,Male,Hispanic,Hayfield,1
25 to 34,Male,Hispanic,Kasson P-2,2
25 to 34,Male,Hispanic,Mantorville Twp.,1
25 to 34,Male,Hispanic,Rochester Twp P-1,1
25 to 34,Male,Hispanic,Rochester W1 P1,1
25 to 34,Male,Hispanic,Rochester W1 P10,3
25 to 34,Male,Hispanic,Rochester W1 P11,1
25 to 34,Male,Hispanic,Rochester W1 P4,2
25 to 34,Male,Hispanic,Rochester W1 P7,1
25 to 34,Male,Hispanic,Rochester W1 P8,1
25 to 34,Male,Hispanic,Rochester W2 P1,1
25 to 34,Male,Hispanic,Rochester W2 P10,1
25 to 34,Male,Hispanic,Rochester W2 P11,1
25 to 34,Male,Hispanic,Rochester W2 P2,1
25 to 34,Male,Hispanic,Rochester W2 P4,1
25 to 34,Male,Hispanic,Rochester W2 P6,4
25 to 34,Male,Hispanic,Rochester W2 P9,1
25 to 34,Male,Hispanic,Rochester W4 P10,1
25 to 34,Male,Hispanic,Rochester W4 P11,3
25 to 34,Male,Hispanic,Rochester W4 P12,3
25 to 34,Male,Hispanic,Rochester W4 P13,1
25 to 34,Male,Hispanic,Rochester W4 P8,2
25 to 34,Male,Hispanic,Rochester W4 P9,2
25 to 34,Male,Hispanic,Rochester W5 P14,1
25 to 34,Male,Hispanic,Stewartville,4
25 to 34,Male,Hispanic,Mantorville,1
25 to 34,Male,Hispanic,Rochester W1 P12,1
25 to 34,Male,Hispanic,Rochester W1 P7,1
25 to 34,Male,Hispanic,Rochester W1 P9,1
25 to 34,Male,Hispanic,Rochester W2 P1,2
25 to 34,Male,Hispanic,Rochester W2 P2,1
25 to 34,Male,Hispanic,Rochester W2 P3,1
25 to 34,Male,Hispanic,Rochester W4 P12,2
25 to 34,Male,Hispanic,Rochester W4 P8,1
25 to 34,Male,Hispanic,Rochester W4 P9,1
25 to 34,Male,White,Ashland Twp.,10
25 to 34,Male,White,Byron,149
25 to 34,Male,White,Canisteo Twp.,10
25 to 34,Male,White,Cascade Twp. P-3,9
25 to 34,Male,White,Claremont,14
25 to 34,Male,White,Claremont Twp.,10
25 to 34,Male,White,Concord Twp.,17
25 to 34,Male,White,Dodge Center P-1,53
25 to 34,Male,White,Dodge Center P-2,18
25 to 34,Male,White,Ellington Twp.,14
25 to 34,Male,White,Hayfield,40
25 to 34,Male,White,Hayfield Twp.,17
25 to 34,Male,White,High Forest Twp.,21
25 to 34,Male,White,Kalmar Twp.,22
25 to 34,Male,White,Kasson P-1,11
25 to 34,Male,White,Kasson P-2,151
25 to 34,Male,White,Kasson P-3,39
25 to 34,Male,White,Mantorville,36
25 to 34,Male,White,Mantorville Twp.,33
25 to 34,Male,White,Milton Twp.,16
25 to 34,Male,White,Ripley Twp.,5
25 to 34,Male,White,Rochester Twp P-1,29
25 to 34,Male,White,Rochester Twp P-2,4
25 to 34,Male,White,Rochester W1 P1,12
25 to 34,Male,White,Rochester W1 P10,70
25 to 34,Male,White,Rochester W1 P11,33
25 to 34,Male,White,Rochester W1 P12,48
25 to 34,Male,White,Rochester W1 P13,17
25 to 34,Male,White,Rochester W1 P14,12
25 to 34,Male,White,Rochester W1 P2,17
25 to 34,Male,White,Rochester W1 P4,46
25 to 34,Male,White,Rochester W1 P5,22
25 to 34,Male,White,Rochester W1 P6,36
25 to 34,Male,White,Rochester W1 P7,33
25 to 34,Male,White,Rochester W1 P8,55
25 to 34,Male,White,Rochester W1 P9,14
25 to 34,Male,White,Rochester W2 P1,38
25 to 34,Male,White,Rochester W2 P10,14
25 to 34,Male,White,Rochester W2 P11,35
25 to 34,Male,White,Rochester W2 P2,43
25 to 34,Male,White,Rochester W2 P3,27
25 to 34,Male,White,Rochester W2 P4,50
25 to 34,Male,White,Rochester W2 P5,18
25 to 34,Male,White,Rochester W2 P6,48
25 to 34,Male,White,Rochester W2 P9,30
25 to 34,Male,White,Rochester W4 P10,30
25 to 34,Male,White,Rochester W4 P11,31
25 to 34,Male,White,Rochester W4 P12,31
25 to 34,Male,White,Rochester W4 P13,29
25 to 34,Male,White,Rochester W4 P8,30
25 to 34,Male,White,Rochester W4 P9,8
25 to 34,Male,White,Rochester W5 P14,30
25 to 34,Male,White,Rock Dell Twp.,19
25 to 34,Male,White,Salem Twp.,24
25 to 34,Male,White,Stewartville,176
25 to 34,Male,White,Vernon Twp.,16
25 to 34,Male,White,Wasioja Twp.,21
25 to 34,Male,White,West Concord,24
25 to 34,Male,White,Westfield Twp.,9
25 to 34,Male,White,Ashland Twp.,3
25 to 34,Male,White,Byron,36
25 to 34,Male,White,Cascade Twp. P-3,1
25 to 34,Male,White,Claremont,3
25 to 34,Male,White,Claremont Twp.,1
25 to 34,Male,White,Concord Twp.,6
25 to 34,Male,White,Dodge Center P-1,18
25 to 34,Male,White,Ellington Twp.,2
25 to 34,Male,White,Hayfield,12
25 to 34,Male,White,Hayfield Twp.,3
25 to 34,Male,White,High Forest Twp.,3
25 to 34,Male,White,Kalmar Twp.,1
25 to 34,Male,White,Kasson P-1,2
25 to 34,Male,White,Kasson P-2,37
25 to 34,Male,White,Kasson P-3,12
25 to 34,Male,White,Mantorville,10
25 to 34,Male,White,Mantorville Twp.,11
25 to 34,Male,White,Marion Twp. P-2,1
25 to 34,Male,White,Milton Twp.,2
25 to 34,Male,White,Ripley Twp.,1
25 to 34,Male,White,Rochester Twp P-2,1
25 to 34,Male,White,Rochester W1 P1,7
25 to 34,Male,White,Rochester W1 P10,43
25 to 34,Male,White,Rochester W1 P11,9
25 to 34,Male,White,Rochester W1 P12,14
25 to 34,Male,White,Rochester W1 P13,4
25 to 34,Male,White,Rochester W1 P14,5
25 to 34,Male,White,Rochester W1 P2,1
25 to 34,Male,White,Rochester W1 P4,18
25 to 34,Male,White,Rochester W1 P5,4
25 to 34,Male,White,Rochester W1 P6,4
25 to 34,Male,White,Rochester W1 P7,9
25 to 34,Male,White,Rochester W1 P8,18
25 to 34,Male,White,Rochester W1 P9,5
25 to 34,Male,White,Rochester W2 P1,19
25 to 34,Male,White,Rochester W2 P10,13
25 to 34,Male,White,Rochester W2 P11,15
25 to 34,Male,White,Rochester W2 P2,18
25 to 34,Male,White,Rochester W2 P3,5
25 to 34,Male,White,Rochester W2 P4,8
25 to 34,Male,White,Rochester W2 P5,11
25 to 34,Male,White,Rochester W2 P6,33
25 to 34,Male,White,Rochester W2 P9,11
25 to 34,Male,White,Rochester W4 P10,8
25 to 34,Male,White,Rochester W4 P11,19
25 to 34,Male,White,Rochester W4 P12,10
25 to 34,Male,White,Rochester W4 P13,4
25 to 34,Male,White,Rochester W4 P8,13
25 to 34,Male,White,Rochester W4 P9,3
25 to 34,Male,White,Rochester W5 P14,7
25 to 34,Male,White,Rock Dell Twp.,3
25 to 34,Male,White,Salem Twp.,3
25 to 34,Male,White,Stewartville,38
25 to 34,Male,White,Vernon Twp.,3
25 to 34,Male,White,Wasioja Twp.,5
25 to 34,Male,White,West Concord,10
25 to 34,Male,White,Westfield Twp.,2
25 to 34,Male,White,Byron,8
25 to 34,Male,White,Claremont,1
25 to 34,Male,White,Claremont Twp.,1
25 to 34,Male,White,Concord Twp.,1
25 to 34,Male,White,Dodge Center P-1,3
25 to 34,Male,White,Hayfield,3
25 to 34,Male,White,Kalmar Twp.,2
25 to 34,Male,White,Kasson P-2,5
25 to 34,Male,White,Kasson P-3,2
25 to 34,Male,White,Mantorville,1
25 to 34,Male,White,Mantorville Twp.,1
25 to 34,Male,White,Milton Twp.,1
25 to 34,Male,White,Rochester Twp P-1,2
25 to 34,Male,White,Rochester W1 P1,3
25 to 34,Male,White,Rochester W1 P10,7
25 to 34,Male,White,Rochester W1 P11,4
25 to 34,Male,White,Rochester W1 P12,7
25 to 34,Male,White,Rochester W1 P13,2
25 to 34,Male,White,Rochester W1 P2,1
25 to 34,Male,White,Rochester W1 P4,2
25 to 34,Male,White,Rochester W1 P5,2
25 to 34,Male,White,Rochester W1 P7,1
25 to 34,Male,White,Rochester W1 P8,4
25 to 34,Male,White,Rochester W1 P9,3
25 to 34,Male,White,Rochester W2 P1,13
25 to 34,Male,White,Rochester W2 P10,2
25 to 34,Male,White,Rochester W2 P11,6
25 to 34,Male,White,Rochester W2 P2,8
25 to 34,Male,White,Rochester W2 P3,4
25 to 34,Male,White,Rochester W2 P4,10
25 to 34,Male,White,Rochester W2 P5,3
25 to 34,Male,White,Rochester W2 P6,6
25 to 34,Male,White,Rochester W2 P9,3
25 to 34,Male,White,Rochester W4 P10,7
25 to 34,Male,White,Rochester W4 P11,4
25 to 34,Male,White,Rochester W4 P12,4
25 to 34,Male,White,Rochester W4 P13,1
25 to 34,Male,White,Rochester W4 P8,3
25 to 34,Male,White,Rochester W4 P9,1
25 to 34,Male,White,Rochester W5 P14,2
25 to 34,Male,White,Rock Dell Twp.,1
25 to 34,Male,White,Salem Twp.,1
25 to 34,Male,White,Stewartville,7
25 to 34,Male,White,Wasioja Twp.,1
25 to 34,Male,White,West Concord,2
25 to 34,Female,Asian,Rochester Twp P-1,1
25 to 34,Female,Asian,Rochester W1 P10,1
25 to 34,Female,Asian,Rochester W1 P12,1
25 to 34,Female,Asian,Rochester W1 P13,1
25 to 34,Female,Asian,Rochester W1 P2,1
25 to 34,Female,Asian,Rochester W1 P8,2
25 to 34,Female,Asian,Rochester W2 P10,2
25 to 34,Female,Asian,Rochester W2 P2,1
25 to 34,Female,Asian,Rochester W2 P3,3
25 to 34,Female,Asian,Rochester W2 P6,1
25 to 34,Female,Asian,Dodge Center P-1,1
25 to 34,Female,Asian,Dodge Center P-2,1
25 to 34,Female,Asian,Rochester W1 P10,5
25 to 34,Female,Asian,Rochester W1 P11,1
25 to 34,Female,Asian,Rochester W1 P12,2
25 to 34,Female,Asian,Rochester W1 P13,1
25 to 34,Female,Asian,Rochester W1 P4,1
25 to 34,Female,Asian,Rochester W1 P6,1
25 to 34,Female,Asian,Rochester W1 P9,1
25 to 34,Female,Asian,Rochester W2 P1,3
25 to 34,Female,Asian,Rochester W2 P10,1
25 to 34,Female,Asian,Rochester W2 P5,1
25 to 34,Female,Asian,Rochester W2 P6,5
25 to 34,Female,Asian,Rochester W4 P10,2
25 to 34,Female,Asian,Rochester W4 P9,1
25 to 34,Female,Asian,Kasson P-2,1
25 to 34,Female,Asian,Rochester W1 P10,1
25 to 34,Female,Asian,Rochester W1 P13,1
25 to 34,Female,Asian,Rochester W1 P7,1
25 to 34,Female,Asian,Rochester W2 P1,2
25 to 34,Female,Asian,Rochester W2 P11,1
25 to 34,Female,Asian,Rochester W2 P2,1
25 to 34,Female,Asian,Rochester W2 P6,2
25 to 34,Female,Asian,Rochester W4 P10,1
25 to 34,Female,Asian,Rochester W4 P11,1
25 to 34,Female,Asian,Rochester W4 P12,1
25 to 34,Female,Black,Rochester Twp P-1,2
25 to 34,Female,Black,Rochester W1 P5,1
25 to 34,Female,Black,Rochester W1 P7,1
25 to 34,Female,Black,Rochester W2 P3,1
25 to 34,Female,Black,Rochester W2 P5,1
25 to 34,Female,Black,Rochester W2 P6,1
25 to 34,Female,Black,Rochester W2 P9,1
25 to 34,Female,Black,Rochester W4 P10,1
25 to 34,Female,Black,Byron,1
25 to 34,Female,Black,Dodge Center P-1,2
25 to 34,Female,Black,Mantorville,2
25 to 34,Female,Black,Rochester W1 P1,1
25 to 34,Female,Black,Rochester W1 P10,1
25 to 34,Female,Black,Rochester W1 P12,1
25 to 34,Female,Black,Rochester W1 P14,3
25 to 34,Female,Black,Rochester W1 P7,1
25 to 34,Female,Black,Rochester W2 P1,3
25 to 34,Female,Black,Rochester W2 P10,1
25 to 34,Female,Black,Rochester W2 P11,1
25 to 34,Female,Black,Rochester W2 P4,1
25 to 34,Female,Black,Rochester W2 P5,1
25 to 34,Female,Black,Rochester W2 P6,3
25 to 34,Female,Black,Rochester W4 P10,4
25 to 34,Female,Black,Rochester W4 P11,5
25 to 34,Female,Black,Rochester W4 P12,1
25 to 34,Female,Black,Rochester W4 P8,2
25 to 34,Female,Black,Rochester W4 P9,6
25 to 34,Female,Black,Rochester W2 P10,1
25 to 34,Female,Black,Rochester W2 P9,1
25 to 34,Female,Black,Rochester W4 P11,1
25 to 34,Female,Black,Rochester W4 P9,1
25 to 34,Female,Hispanic,Kasson P-3,1
25 to 34,Female,Hispanic,Rochester W2 P6,1
25 to 34,Female,Hispanic,Rochester W4 P10,1
25 to 34,Female,Hispanic,Rochester W4 P12,4
25 to 34,Female,Hispanic,Rochester W4 P8,1
25 to 34,Female,Hispanic,Byron,2
25 to 34,Female,Hispanic,Claremont,2
25 to 34,Female,Hispanic,Dodge Center P-1,2
25 to 34,Female,Hispanic,Kalmar Twp.,1
25 to 34,Female,Hispanic,Kasson P-2,2
25 to 34,Female,Hispanic,Kasson P-3,1
25 to 34,Female,Hispanic,Rochester W1 P10,3
25 to 34,Female,Hispanic,Rochester W1 P12,2
25 to 34,Female,Hispanic,Rochester W1 P4,4
25 to 34,Female,Hispanic,Rochester W1 P5,1
25 to 34,Female,Hispanic,Rochester W1 P7,1
25 to 34,Female,Hispanic,Rochester W1 P8,1
25 to 34,Female,Hispanic,Rochester W1 P9,1
25 to 34,Female,Hispanic,Rochester W2 P1,4
25 to 34,Female,Hispanic,Rochester W2 P11,1
25 to 34,Female,Hispanic,Rochester W2 P2,1
25 to 34,Female,Hispanic,Rochester W2 P4,1
25 to 34,Female,Hispanic,Rochester W2 P5,1
25 to 34,Female,Hispanic,Rochester W2 P6,1
25 to 34,Female,Hispanic,Rochester W2 P9,1
25 to 34,Female,Hispanic,Rochester W4 P10,2
25 to 34,Female,Hispanic,Rochester W4 P11,3
25 to 34,Female,Hispanic,Rochester W4 P12,6
25 to 34,Female,Hispanic,Rochester W4 P13,1
25 to 34,Female,Hispanic,Rochester W4 P8,1
25 to 34,Female,Hispanic,Rock Dell Twp.,1
25 to 34,Female,Hispanic,Stewartville,4
25 to 34,Female,Hispanic,Wasioja Twp.,1
25 to 34,Female,Hispanic,Byron,1
25 to 34,Female,Hispanic,Dodge Center P-2,1
25 to 34,Female,Hispanic,Kasson P-3,1
25 to 34,Female,Hispanic,Rochester W1 P10,2
25 to 34,Female,Hispanic,Rochester W1 P12,1
25 to 34,Female,Hispanic,Rochester W1 P4,2
25 to 34,Female,Hispanic,Rochester W2 P10,1
25 to 34,Female,Hispanic,Rochester W2 P11,1
25 to 34,Female,Hispanic,Rochester W2 P6,1
25 to 34,Female,Hispanic,Rochester W4 P10,2
25 to 34,Female,Hispanic,Rochester W4 P12,7
25 to 34,Female,Hispanic,Rochester W4 P8,1
25 to 34,Female,Hispanic,Rochester W4 P9,1
25 to 34,Female,Hispanic,Rochester W5 P14,1
25 to 34,Female,White,Ashland Twp.,5
25 to 34,Female,White,Byron,173
25 to 34,Female,White,Canisteo Twp.,13
25 to 34,Female,White,Cascade Twp. P-3,6
25 to 34,Female,White,Claremont,12
25 to 34,Female,White,Claremont Twp.,9
25 to 34,Female,White,Concord Twp.,13
25 to 34,Female,White,Dodge Center P-1,65
25 to 34,Female,White,Dodge Center P-2,9
25 to 34,Female,White,Ellington Twp.,7
25 to 34,Female,White,Hayfield,43
25 to 34,Female,White,Hayfield Twp.,17
25 to 34,Female,White,High Forest Twp.,23
25 to 34,Female,White,Kalmar Twp.,26
25 to 34,Female,White,Kasson P-1,10
25 to 34,Female,White,Kasson P-2,151
25 to 34,Female,White,Kasson P-3,60
25 to 34,Female,White,Mantorville,36
25 to 34,Female,White,Mantorville Twp.,38
25 to 34,Female,White,Milton Twp.,13
25 to 34,Female,White,Ripley Twp.,9
25 to 34,Female,White,Rochester Twp P-1,30
25 to 34,Female,White,Rochester Twp P-2,6
25 to 34,Female,White,Rochester Twp P-3,1
25 to 34,Female,White,Rochester W1 P1,29
25 to 34,Female,White,Rochester W1 P10,85
25 to 34,Female,White,Rochester W1 P11,42
25 to 34,Female,White,Rochester W1 P12,54
25 to 34,Female,White,Rochester W1 P13,18
25 to 34,Female,White,Rochester W1 P14,14
25 to 34,Female,White,Rochester W1 P2,19
25 to 34,Female,White,Rochester W1 P4,48
25 to 34,Female,White,Rochester W1 P5,15
25 to 34,Female,White,Rochester W1 P6,45
25 to 34,Female,White,Rochester W1 P7,35
25 to 34,Female,White,Rochester W1 P8,72
25 to 34,Female,White,Rochester W1 P9,18
25 to 34,Female,White,Rochester W2 P1,66
25 to 34,Female,White,Rochester W2 P10,29
25 to 34,Female,White,Rochester W2 P11,44
25 to 34,Female,White,Rochester W2 P2,60
25 to 34,Female,White,Rochester W2 P3,32
25 to 34,Female,White,Rochester W2 P4,67
25 to 34,Female,White,Rochester W2 P5,37
25 to 34,Female,White,Rochester W2 P6,76
25 to 34,Female,White,Rochester W2 P9,41
25 to 34,Female,White,Rochester W4 P10,39
25 to 34,Female,White,Rochester W4 P11,50
25 to 34,Female,White,Rochester W4 P12,25
25 to 34,Female,White,Rochester W4 P13,22
25 to 34,Female,White,Rochester W4 P8,34
25 to 34,Female,White,Rochester W4 P9,8
25 to 34,Female,White,Rochester W5 P14,26
25 to 34,Female,White,Rock Dell Twp.,17
25 to 34,Female,White,Salem Twp.,17
25 to 34,Female,White,Stewartville,186
25 to 34,Female,White,Vernon Twp.,17
25 to 34,Female,White,Wasioja Twp.,20
25 to 34,Female,White,West Concord,21
25 to 34,Female,White,Westfield Twp.,8
25 to 34,Female,White,Ashland Twp.,4
25 to 34,Female,White,Byron,42
25 to 34,Female,White,Canisteo Twp.,2
25 to 34,Female,White,Claremont,3
25 to 34,Female,White,Claremont Twp.,2
25 to 34,Female,White,Concord Twp.,2
25 to 34,Female,White,Dodge Center P-1,10
25 to 34,Female,White,Dodge Center P-2,6
25 to 34,Female,White,Ellington Twp.,3
25 to 34,Female,White,Hayfield,17
25 to 34,Female,White,High Forest Twp.,3
25 to 34,Female,White,Kalmar Twp.,6
25 to 34,Female,White,Kasson P-1,2
25 to 34,Female,White,Kasson P-2,35
25 to 34,Female,White,Kasson P-3,13
25 to 34,Female,White,Mantorville,8
25 to 34,Female,White,Mantorville Twp.,4
25 to 34,Female,White,Milton Twp.,3
25 to 34,Female,White,Rochester Twp P-1,2
25 to 34,Female,White,Rochester Twp P-2,1
25 to 34,Female,White,Rochester W1 P1,5
25 to 34,Female,White,Rochester W1 P10,45
25 to 34,Female,White,Rochester W1 P11,10
25 to 34,Female,White,Rochester W1 P12,9
25 to 34,Female,White,Rochester W1 P13,4
25 to 34,Female,White,Rochester W1 P14,6
25 to 34,Female,White,Rochester W1 P2,2
25 to 34,Female,White,Rochester W1 P4,12
25 to 34,Female,White,Rochester W1 P5,5
25 to 34,Female,White,Rochester W1 P6,4
25 to 34,Female,White,Rochester W1 P7,9
25 to 34,Female,White,Rochester W1 P8,15
25 to 34,Female,White,Rochester W1 P9,7
25 to 34,Female,White,Rochester W2 P1,19
25 to 34,Female,White,Rochester W2 P10,12
25 to 34,Female,White,Rochester W2 P11,16
25 to 34,Female,White,Rochester W2 P2,14
25 to 34,Female,White,Rochester W2 P3,11
25 to 34,Female,White,Rochester W2 P4,20
25 to 34,Female,White,Rochester W2 P5,14
25 to 34,Female,White,Rochester W2 P6,44
25 to 34,Female,White,Rochester W2 P9,5
25 to 34,Female,White,Rochester W4 P10,12
25 to 34,Female,White,Rochester W4 P11,17
25 to 34,Female,White,Rochester W4 P12,8
25 to 34,Female,White,Rochester W4 P13,4
25 to 34,Female,White,Rochester W4 P8,13
25 to 34,Female,White,Rochester W4 P9,2
25 to 34,Female,White,Rochester W5 P14,6
25 to 34,Female,White,Rock Dell Twp.,3
25 to 34,Female,White,Salem Twp.,3
25 to 34,Female,White,Stewartville,50
25 to 34,Female,White,Vernon Twp.,6
25 to 34,Female,White,Wasioja Twp.,3
25 to 34,Female,White,West Concord,4
25 to 34,Female,White,Westfield Twp.,2
25 to 34,Female,White,Ashland Twp.,1
25 to 34,Female,White,Byron,11
25 to 34,Female,White,Canisteo Twp.,1
25 to 34,Female,White,Claremont Twp.,1
25 to 34,Female,White,Dodge Center P-1,4
25 to 34,Female,White,Dodge Center P-2,2
25 to 34,Female,White,Ellington Twp.,1
25 to 34,Female,White,Hayfield,1
25 to 34,Female,White,High Forest Twp.,1
25 to 34,Female,White,Kalmar Twp.,3
25 to 34,Female,White,Kasson P-2,6
25 to 34,Female,White,Kasson P-3,2
25 to 34,Female,White,Mantorville,2
25 to 34,Female,White,Mantorville Twp.,1
25 to 34,Female,White,Rochester Twp P-1,6
25 to 34,Female,White,Rochester Twp P-2,1
25 to 34,Female,White,Rochester W1 P1,2
25 to 34,Female,White,Rochester W1 P10,14
25 to 34,Female,White,Rochester W1 P11,9
